Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  216. PubMed_9:792_synonym (AskQE: 1.0000, Standard: 0.8080)
  217. PubMed_9:794_alteration (AskQE: 0.5912, Standard: 0.7700)
  218. PubMed_9:794_synonym (AskQE: 0.8882, Standard: 0.8050)
  219. PubMed_9:795_alteration (AskQE: 0.8045, Standard: 0.7330)
  220. PubMed_9:795_synonym (AskQE: 0.8718, Standard: 0.7900)
  221. PubMed_9:797_alteration (AskQE: 0.8517, Standard: 0.8510)
  222. PubMed_9:797_synonym (AskQE: 1.0000, Standard: 0.8610)
  223. PubMed_9:799_alteration (AskQE: 0.5538, Standard: 0.7910)
  224. PubMed_9:799_synonym (AskQE: 0.7956, Standard: 0.8140)
  225. PubMed_9:802_alteration (AskQE: 0.0856, Standard: 0.8040)
  226. PubMed_9:802_synonym (AskQE: 0.7583, Standard: 0.8190)
  227. PubMed_9:803_alteration (AskQE: 0.4863, Standard: 0.6390)
  228. PubMed_9:803_synonym (AskQE: 0.5787, Standard: 0.6510)
  229. PubMed_9:804_alteration (AskQE: 0.9385, Standard: 0.7240)
  230. PubMed_9:804_synonym (AskQE: 0.9117, Standard: 0.7310)
  231. PubMed_9:805_alteration (AskQE: 0.6585, Standard: 0.7000)
  232. PubMed_9:805_synonym (AskQE: 0.7132, Standard: 0.7710)
  233. PubMed_9:806_alteration (AskQE: 0.8824, Standard: 0.6760)
  234. PubMed_9:806_synonym (AskQE: 0.8506, Standard: 0.6730)
  235. PubMed_9:807_alteration (AskQE: 0.5885, Standard: 0.7260)
  236. PubMed_9:807_synonym (AskQE: 0.6123, Standard: 0.7280)
  237. PubMed_9:808_alteration (AskQE: 0.9070, Standard: 0.8210)
  238. PubMed_9:808_synonym (AskQE: 0.9281, Standard: 0.8460)
  239. PubMed_9:810_alteration (AskQE: 0.5722, Standard: 0.6750)
  240. PubMed_9:810_synonym (AskQE: 0.7161, Standard: 0.7470)
  241. PubMed_9:814_alteration (AskQE: 0.5818, Standard: 0.8350)
  242. PubMed_9:814_synonym (AskQE: 0.9823, Standard: 0.8830)
  243. PubMed_9:817_alteration (AskQE: 0.4681, Standard: 0.7820)
  244. PubMed_9:817_synonym (AskQE: 0.9957, Standard: 0.8110)
  245. PubMed_9:818_alteration (AskQE: 0.9601, Standard: 0.7470)
  246. PubMed_9:818_synonym (AskQE: 0.9952, Standard: 0.7600)
  247. PubMed_9:819_alteration (AskQE: 0.6492, Standard: 0.6350)
  248. PubMed_9:819_synonym (AskQE: 0.9021, Standard: 0.6910)
  249. PubMed_9:820_alteration (AskQE: 0.7467, Standard: 0.5320)
  250. PubMed_9:820_synonym (AskQE: 0.5167, Standard: 0.7580)
  251. PubMed_9:821_alteration (AskQE: 0.3889, Standard: 0.6990)
  252. PubMed_9:821_synonym (AskQE: 1.0000, Standard: 0.7780)
  253. PubMed_9:822_alteration (AskQE: 0.8903, Standard: 0.7040)
  254. PubMed_9:822_synonym (AskQE: 0.9760, Standard: 0.7230)
  255. PubMed_9:823_alteration (AskQE: 0.9060, Standard: 0.6950)
  256. PubMed_9:823_synonym (AskQE: 0.9490, Standard: 0.7610)
  257. PubMed_9:825_alteration (AskQE: 0.9532, Standard: 0.7190)
  258. PubMed_9:825_synonym (AskQE: 0.8758, Standard: 0.7470)
  259. PubMed_9:826_alteration (AskQE: 0.8375, Standard: 0.7320)
  260. PubMed_9:826_synonym (AskQE: 0.9554, Standard: 0.7610)
  261. PubMed_9:829_alteration (AskQE: 0.9046, Standard: 0.7130)
  262. PubMed_9:829_synonym (AskQE: 0.8381, Standard: 0.7460)
  263. PubMed_9:830_alteration (AskQE: 0.3975, Standard: 0.6910)
  264. PubMed_9:830_synonym (AskQE: 0.9061, Standard: 0.8380)
  265. PubMed_9:831_alteration (AskQE: 0.5453, Standard: 0.6740)
  266. PubMed_9:831_synonym (AskQE: 0.5578, Standard: 0.7190)
  267. PubMed_9:832_alteration (AskQE: 0.6546, Standard: 0.7300)
  268. PubMed_9:832_synonym (AskQE: 1.0000, Standard: 0.8490)
  269. PubMed_9:836_alteration (AskQE: 0.5179, Standard: 0.7820)
  270. PubMed_9:836_synonym (AskQE: 0.8857, Standard: 0.8070)
  271. PubMed_9:837_alteration (AskQE: 0.4861, Standard: 0.6630)
  272. PubMed_9:837_synonym (AskQE: 0.5584, Standard: 0.6980)
  273. PubMed_9:838_alteration (AskQE: 0.7488, Standard: 0.6240)
  274. PubMed_9:838_synonym (AskQE: 0.7225, Standard: 0.6490)
  275. PubMed_9:839_alteration (AskQE: 0.8754, Standard: 0.7940)
  276. PubMed_9:839_synonym (AskQE: 0.9855, Standard: 0.8530)
  277. PubMed_9:840_alteration (AskQE: 0.6259, Standard: 0.5960)
  278. PubMed_9:840_synonym (AskQE: 0.9150, Standard: 0.6720)
  279. PubMed_9:841_alteration (AskQE: 0.7936, Standard: 0.6870)
  280. PubMed_9:841_synonym (AskQE: 0.7607, Standard: 0.7540)
  281. PubMed_9:844_alteration (AskQE: 0.8044, Standard: 0.7290)
  282. PubMed_9:844_synonym (AskQE: 0.8784, Standard: 0.7240)
  283. PubMed_9:845_alteration (AskQE: 0.3985, Standard: 0.5940)
  284. PubMed_9:845_synonym (AskQE: 0.8931, Standard: 0.6650)
  285. PubMed_9:846_alteration (AskQE: 0.5435, Standard: 0.7180)
  286. PubMed_9:846_synonym (AskQE: 0.6943, Standard: 0.7540)
